,EI,admission,labs,comorbidities,vitals
AdaBoost.S,0.6252743806835999,0.5464018235102572,0.6003189792663477,0.4335572669179092,0.488098652136507
CES,0.5988866100205098,0.5523411869967193,0.5990566037735849,0.4378598035895699,0.5004236091499576
DT.S,0.4664957890882461,0.4333442515558467,0.4608788853161844,0.4333442515558467,0.4333442515558467
GradientBoosting.S,0.6344050381173351,0.547112462006079,0.6019726376073815,0.4379200565970994,0.4989492644851397
KNN.S,0.5827642276422764,0.4871287128712872,0.5566687539135879,0.4333442515558467,0.4661337820782499
LR.S,0.6477864583333334,0.5595015576323988,0.6063829787234043,0.4372240861734063,0.5054069436539556
Mean,0.6185086551264981,0.5455097087378641,0.6003521126760564,0.4386149003147954,0.4974510330024148
NB.S,0.6267696267696268,0.5551433389544689,0.6050679851668728,0.4374145006839945,0.5018508725542041
RF.S,0.6220472440944883,0.5331040412725708,0.6004002668445629,0.4382957053131896,0.4740675347605385
SVM.S,0.6443867618429592,0.54535666218035,0.5749840459476706,0.4334862385321101,0.4459649828939424
XGB.S,0.608695652173913,0.5063734066483379,0.5804892781636968,0.4358625382783259,0.4621831969666732
